School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
Anderson University,SC,Private not-for-profit,"4,510","2,268",50.29%,"$50,000","4,008","1,387","2,621",34.61%,65.39%,35/65
Andrews University,MI,Private not-for-profit,"1,109",904,81.51%,"$44,408","2,927","1,620","1,307",55.35%,44.65%,55/45
Angelo State University,TX,Public,"3,515","2,463",70.07%,"$33,258","10,826","4,288","6,538",39.61%,60.39%,40/60
Appalachian State University,NC,Public,"21,120","17,886",84.69%,"$38,706","20,641","8,648","11,993",41.90%,58.10%,42/58
Arcadia University,PA,Private not-for-profit,"5,636","4,645",82.42%,"$63,450","3,064",913,"2,151",29.80%,70.20%,30/70
Arizona State University Campus Immersion,AZ,Public,"61,603","54,329",88.19%,"$50,101","77,881","39,380","38,501",50.56%,49.44%,51/49
Arkansas State University,AR,Public,"5,835","3,693",63.29%,"$30,409","12,863","4,492","8,371",34.92%,65.08%,35/65
Arkansas Tech University,AR,Public,"6,218","5,868",94.37%,"$28,021","9,640","4,169","5,471",43.25%,56.75%,43/57
Art Center College of Design,CA,Private not-for-profit,982,742,75.56%,$0,"2,319",969,"1,350",41.79%,58.21%,42/58
Asbury University,KY,Private not-for-profit,"1,126",872,77.44%,"$46,516","1,720",696,"1,024",40.47%,59.53%,40/60
Ashland University,OH,Private not-for-profit,"4,318","3,023",70.01%,"$39,088","4,929","2,224","2,705",45.12%,54.88%,45/55
Assumption University,MA,Private not-for-profit,"4,018","3,475",86.49%,"$64,870","2,284",927,"1,357",40.59%,59.41%,41/59
Auburn University,AL,Public,"27,619","19,660",71.18%,"$55,186","31,526","15,681","15,845",49.74%,50.26%,50/50
Auburn University at Montgomery,AL,Public,"3,405","3,296",96.80%,"$31,946","5,068","1,746","3,322",34.45%,65.55%,34/66
Augsburg University,MN,Private not-for-profit,"3,525","2,692",76.37%,"$57,883","3,166","1,286","1,880",40.62%,59.38%,41/59
Augusta University,GA,Public,"5,442","3,988",73.28%,"$39,644","8,961","3,034","5,927",33.86%,66.14%,34/66
Augustana College,IL,Private not-for-profit,"6,640","4,590",69.13%,"$62,242","2,367","1,075","1,292",45.42%,54.58%,45/55
Augustana University,SD,Private not-for-profit,"2,257","1,621",71.82%,"$53,390","2,022",722,"1,300",35.71%,64.29%,36/64
Aurora University,IL,Private not-for-profit,"3,101","2,680",86.42%,"$44,022","6,165","1,807","4,358",29.31%,70.69%,29/71
Austin Peay State University,TN,Public,"5,053","4,721",93.43%,"$36,409","9,609","3,699","5,910",38.50%,61.50%,38/62
Azusa Pacific University,CA,Private not-for-profit,"3,967","3,733",94.10%,"$55,820","8,126","2,336","5,790",28.75%,71.25%,29/71
Babson College,MA,Private not-for-profit,"7,104","1,801",25.35%,"$77,248","3,684","2,109","1,575",57.25%,42.75%,57/43
Baker College,MI,Private not-for-profit,"1,593",653,40.99%,"$25,410","4,969","1,323","3,646",26.63%,73.37%,27/73
Baker University,KS,Private not-for-profit,637,631,99.06%,"$48,250","2,364",941,"1,423",39.81%,60.19%,40/60
Baldwin Wallace University,OH,Private not-for-profit,"4,250","3,358",79.01%,"$57,546","3,325","1,407","1,918",42.32%,57.68%,42/58
Ball State University,IN,Public,"22,947","15,642",68.17%,"$43,164","20,319","7,011","13,308",34.50%,65.50%,35/65
Bard College,NY,Private not-for-profit,"5,167","3,096",59.92%,"$80,702","2,591","1,133","1,458",43.73%,56.27%,44/56
Barnard College,NY,Private not-for-profit,"10,395","1,192",11.47%,"$84,409","3,043",8,"3,035",0.26%,99.74%,0/100
Barry University,FL,Private not-for-profit,"10,651","6,784",63.69%,"$50,558","7,337","2,283","5,054",31.12%,68.88%,31/69
Bates College,ME,Private not-for-profit,"7,319","1,267",17.31%,"$80,440","1,821",885,936,48.60%,51.40%,49/51
Bay Path University,MA,Private not-for-profit,797,601,75.41%,"$52,280","2,745",124,"2,621",4.52%,95.48%,5/95
Baylor University,TX,Private not-for-profit,"36,588","20,741",56.69%,"$70,171","20,626","7,924","12,702",38.42%,61.58%,38/62
Belhaven University,MS,Private not-for-profit,"1,787","1,144",64.02%,"$39,125","4,278","1,230","3,048",28.75%,71.25%,29/71
Bellarmine University,KY,Private not-for-profit,"4,228","3,615",85.50%,"$63,060","3,149","1,146","2,003",36.39%,63.61%,36/64
Belmont University,TN,Private not-for-profit,"9,614","8,468",88.08%,"$60,480","8,696","2,965","5,731",34.10%,65.90%,34/66
Bemidji State University,MN,Public,"2,571","1,927",74.95%,"$23,592","4,279","1,799","2,480",42.04%,57.96%,42/58
Benedict College,SC,Private not-for-profit,"9,322","7,971",85.51%,"$30,000","1,908",831,"1,077",43.55%,56.45%,44/56
Benedictine College,KS,Private not-for-profit,"2,728","2,687",98.50%,"$50,950","2,287","1,123","1,164",49.10%,50.90%,49/51
Benedictine University,IL,Private not-for-profit,"2,908","2,327",80.02%,"$49,332","3,378","1,403","1,975",41.53%,58.47%,42/58
Bentley University,MA,Private not-for-profit,"9,311","5,674",60.94%,"$77,770","5,158","2,975","2,183",57.68%,42.32%,58/42
Berklee College of Music,MA,Private not-for-profit,"7,266","4,009",55.17%,"$70,620","7,943","4,584","3,359",57.71%,42.29%,58/42
Berry College,GA,Private not-for-profit,"5,249","3,669",69.90%,"$56,490","2,303",825,"1,478",35.82%,64.18%,36/64
Bethel University,TN,Private not-for-profit,"2,148","1,073",49.95%,"$33,328","4,011","1,831","2,180",45.65%,54.35%,46/54
Bethel University,MN,Private not-for-profit,"2,050","1,818",88.68%,"$56,870","3,731","1,383","2,348",37.07%,62.93%,37/63
Bethune-Cookman University,FL,Private not-for-profit,"5,577","5,568",99.84%,"$29,940","2,624",992,"1,632",37.80%,62.20%,38/62
Binghamton University,NY,Public,"39,533","17,455",44.15%,"$47,709","18,055","8,790","9,265",48.68%,51.32%,49/51
Biola University,CA,Private not-for-profit,"4,354","2,646",60.77%,"$59,896","5,551","2,432","3,119",43.81%,56.19%,44/56
Black Hills State University,SD,Public,"1,382","1,344",97.25%,"$25,328","3,539","1,297","2,242",36.65%,63.35%,37/63
Boise State University,ID,Public,"15,648","13,008",83.13%,"$46,053","25,794","10,778","15,016",41.78%,58.22%,42/58
Boston College,MA,Private not-for-profit,"39,846","7,587",19.04%,"$83,746","15,577","7,064","8,513",45.35%,54.65%,45/55
Boston University,MA,Private not-for-profit,"75,778","14,129",18.65%,"$82,760","36,104","15,319","20,785",42.43%,57.57%,42/58
Bowdoin College,ME,Private not-for-profit,"9,325",822,8.82%,"$80,390","1,951",963,988,49.36%,50.64%,49/51
Bowie State University,MD,Public,"4,978","4,333",87.04%,"$36,038","6,308","2,392","3,916",37.92%,62.08%,38/62
Bowling Green State University-Main Campus,OH,Public,"18,295","14,404",78.73%,"$38,966","17,645","7,499","10,146",42.50%,57.50%,42/58
Bradley University,IL,Private not-for-profit,"10,109","7,669",75.86%,"$53,436","5,588","2,423","3,165",43.36%,56.64%,43/57
Brandeis University,MA,Private not-for-profit,"9,796","3,834",39.14%,"$81,914","5,558","2,311","3,247",41.58%,58.42%,42/58
Brenau University,GA,Private not-for-profit,"1,900","1,693",89.11%,"$49,415","2,551",324,"2,227",12.70%,87.30%,13/87
Bridgewater State University,MA,Public,"8,881","7,671",86.38%,"$35,453","9,942","3,769","6,173",37.91%,62.09%,38/62
Brigham Young University,UT,Private not-for-profit,"11,608","6,870",59.18%,"$21,120","34,811","17,125","17,686",49.19%,50.81%,49/51
Brigham Young University-Hawaii,HI,Private not-for-profit,"1,324","1,161",87.69%,"$23,107","2,893","1,078","1,815",37.26%,62.74%,37/63
Brigham Young University-Idaho,ID,Private not-for-profit,"9,963","9,621",96.57%,"$13,418","44,304","19,348","24,956",43.67%,56.33%,44/56
Brown University,RI,Private not-for-profit,"46,568","2,568",5.51%,"$83,686","10,696","5,210","5,486",48.71%,51.29%,49/51
Bryant University,RI,Private not-for-profit,"6,985","5,142",73.61%,"$68,813","3,441","2,127","1,314",61.81%,38.19%,62/38
Bryn Mawr College,PA,Private not-for-profit,"3,391","1,334",39.34%,"$79,380","1,778",78,"1,700",4.39%,95.61%,4/96
Bucknell University,PA,Private not-for-profit,"11,263","3,886",34.50%,"$80,170","3,757","1,765","1,992",46.98%,53.02%,47/53
Buena Vista University,IA,Private not-for-profit,"1,749","1,154",65.98%,"$52,899","1,959",624,"1,335",31.85%,68.15%,32/68
Butler University,IN,Private not-for-profit,"15,340","12,356",80.55%,"$64,180","5,559","2,158","3,401",38.82%,61.18%,39/61
Cabrini University,PA,Private not-for-profit,"3,256","2,606",80.04%,"$50,889","1,760",659,"1,101",37.44%,62.56%,37/63
Caldwell University,NJ,Private not-for-profit,"3,494","3,353",95.96%,"$57,449","2,098",701,"1,397",33.41%,66.59%,33/67
California Baptist University,CA,Private not-for-profit,"9,474","6,038",63.73%,"$53,472","11,489","3,861","7,628",33.61%,66.39%,34/66
California College of the Arts,CA,Private not-for-profit,"2,847","2,210",77.63%,"$79,961","1,630",567,"1,063",34.79%,65.21%,35/65
California Institute of Technology,CA,Private not-for-profit,"13,026",510,3.92%,"$83,598","2,397","1,487",910,62.04%,37.96%,62/38
California Lutheran University,CA,Private not-for-profit,"4,041","3,311",81.94%,"$67,805","3,766","1,662","2,104",44.13%,55.87%,44/56
California Polytechnic State University-San Luis Obispo,CA,Public,"54,570","18,008",33.00%,"$47,828","22,231","11,381","10,850",51.19%,48.81%,51/49
California State Polytechnic University-Humboldt,CA,Public,"7,013","6,414",91.46%,"$36,736","5,908","2,392","3,516",40.49%,59.51%,40/60
California State Polytechnic University-Pomona,CA,Public,"41,226","24,993",60.62%,"$39,989","29,456","15,610","13,846",52.99%,47.01%,53/47
California State University-Bakersfield,CA,Public,"12,334","10,510",85.21%,"$38,241","10,972","3,650","7,322",33.27%,66.73%,33/67
California State University-Channel Islands,CA,Public,"9,244","8,597",93.00%,"$39,969","6,966","2,391","4,575",34.32%,65.68%,34/66
California State University-Chico,CA,Public,"19,990","17,086",85.47%,"$38,608","15,702","7,003","8,699",44.60%,55.40%,45/55
California State University-Dominguez Hills,CA,Public,"16,741","14,999",89.59%,"$39,471","17,837","6,365","11,472",35.68%,64.32%,36/64
California State University-East Bay,CA,Public,"14,448","11,899",82.36%,"$39,839","15,189","5,867","9,322",38.63%,61.37%,39/61
California State University-Fresno,CA,Public,"15,231","14,816",97.28%,"$34,769","25,047","9,819","15,228",39.20%,60.80%,39/61
California State University-Fullerton,CA,Public,"45,140","26,827",59.43%,"$39,711","40,738","16,545","24,193",40.61%,59.39%,41/59
California State University-Long Beach,CA,Public,"67,122","31,448",46.85%,"$38,062","40,190","16,691","23,499",41.53%,58.47%,42/58
California State University-Los Angeles,CA,Public,"29,223","26,459",90.54%,"$42,569","27,513","11,007","16,506",40.01%,59.99%,40/60
California State University-Monterey Bay,CA,Public,"10,026","9,305",92.81%,"$39,668","7,503","2,792","4,711",37.21%,62.79%,37/63
California State University-Northridge,CA,Public,"23,656","20,842",88.10%,"$35,587","40,108","17,387","22,721",43.35%,56.65%,43/57
California State University-Sacramento,CA,Public,"22,706","21,272",93.68%,"$40,606","32,498","13,605","18,893",41.86%,58.14%,42/58
California State University-San Bernardino,CA,Public,"13,057","11,878",90.97%,"$37,581","19,514","7,208","12,306",36.94%,63.06%,37/63
California State University-San Marcos,CA,Public,"13,986","13,049",93.30%,"$37,387","16,255","6,107","10,148",37.57%,62.43%,38/62
California State University-Stanislaus,CA,Public,"5,740","5,439",94.76%,"$35,521","10,481","3,340","7,141",31.87%,68.13%,32/68
Calvin University,MI,Private not-for-profit,"3,986","2,992",75.06%,"$54,070","3,257","1,516","1,741",46.55%,53.45%,47/53
Campbell University,NC,Private not-for-profit,"4,142","3,614",87.25%,"$60,540","5,622","2,459","3,163",43.74%,56.26%,44/56
Canisius College,NY,Private not-for-profit,"3,668","2,988",81.46%,"$46,458","2,630","1,235","1,395",46.96%,53.04%,47/53
Capital University,OH,Private not-for-profit,"3,585","2,659",74.17%,"$56,982","2,820","1,117","1,703",39.61%,60.39%,40/60
Carleton College,MN,Private not-for-profit,"7,915","1,389",17.55%,"$81,350","2,044",996,"1,048",48.73%,51.27%,49/51
Carlow University,PA,Private not-for-profit,"1,044",961,92.05%,"$49,996","1,984",273,"1,711",13.76%,86.24%,14/86
Carnegie Mellon University,PA,Private not-for-profit,"32,896","4,453",13.54%,"$80,230","15,057","8,541","6,516",56.72%,43.28%,57/43
Carroll University,WI,Private not-for-profit,"4,481","3,159",70.50%,"$51,584","3,397","1,058","2,339",31.15%,68.85%,31/69
Carson-Newman University,TN,Private not-for-profit,"2,953","2,329",78.87%,"$47,964","2,835",998,"1,837",35.20%,64.80%,35/65
Carthage College,WI,Private not-for-profit,"8,639","6,539",75.69%,"$50,748","2,746","1,201","1,545",43.74%,56.26%,44/56
Case Western Reserve University,OH,Private not-for-profit,"33,232","10,049",30.24%,"$82,004","12,142","5,909","6,233",48.67%,51.33%,49/51
Castleton University,VT,Public,"2,447","2,136",87.29%,"$44,854","2,369",911,"1,458",38.46%,61.54%,38/62
Cedarville University,OH,Private not-for-profit,"5,223","3,251",62.24%,"$47,192","4,643","2,062","2,581",44.41%,55.59%,44/56
Central Connecticut State University,CT,Public,"6,285","4,703",74.83%,"$41,314","9,653","4,830","4,823",50.04%,49.96%,50/50
Central Michigan University,MI,Public,"18,517","14,273",77.08%,"$26,968","15,424","6,075","9,349",39.39%,60.61%,39/61
Central State University,OH,Public,"8,019","4,702",58.64%,"$23,196","6,044","1,774","4,270",29.35%,70.65%,29/71
Central Washington University,WA,Public,"10,767","9,523",88.45%,"$43,377","10,176","4,724","5,452",46.42%,53.58%,46/54
Chamberlain University-Illinois,IL,Private for-profit,28,26,92.86%,$0,"27,744","2,720","25,024",9.80%,90.20%,10/90
Chamberlain University-Texas,TX,Private for-profit,26,22,84.62%,$0,"1,923",259,"1,664",13.47%,86.53%,13/87
Chaminade University of Honolulu,HI,Private not-for-profit,"1,502","1,353",90.08%,"$48,434","2,214",602,"1,612",27.19%,72.81%,27/73
Champlain College,VT,Private not-for-profit,"6,444","4,023",62.43%,"$64,010","3,825","2,243","1,582",58.64%,41.36%,59/41
Chapman University,CA,Private not-for-profit,"15,098","9,115",60.37%,"$82,546","9,991","3,948","6,043",39.52%,60.48%,40/60
Charleston Southern University,SC,Private not-for-profit,"3,940","2,254",57.21%,"$45,700","3,341","1,196","2,145",35.80%,64.20%,36/64
Chatham University,PA,Private not-for-profit,"3,006","2,206",73.39%,"$57,844","2,439",586,"1,853",24.03%,75.97%,24/76
Chicago State University,IL,Public,"4,805","2,281",47.47%,"$32,718","2,366",720,"1,646",30.43%,69.57%,30/70
Christian Brothers University,TN,Private not-for-profit,"1,167","1,127",96.57%,"$49,094","1,794",837,957,46.66%,53.34%,47/53
Christopher Newport University,VA,Public,"6,699","5,931",88.54%,"$46,437","4,584","2,081","2,503",45.40%,54.60%,45/55
Citadel Military College of South Carolina,SC,Public,"2,470","2,134",86.40%,"$55,199","3,693","2,836",857,76.79%,23.21%,77/23
Claflin University,SC,Private not-for-profit,"8,467","5,289",62.47%,"$33,676","1,866",544,"1,322",29.15%,70.85%,29/71
Clark Atlanta University,GA,Private not-for-profit,"16,718","9,737",58.24%,"$40,924","4,055",986,"3,069",24.32%,75.68%,24/76
Clark University,MA,Private not-for-profit,"8,151","3,915",48.03%,"$65,266","3,350","1,487","1,863",44.39%,55.61%,44/56
Clarkson University,NY,Private not-for-profit,"7,011","5,229",74.58%,"$77,058","3,953","2,586","1,367",65.42%,34.58%,65/35
Clayton State University,GA,Public,"1,843","1,153",62.56%,"$31,409","6,817","1,988","4,829",29.16%,70.84%,29/71
Clemson University,SC,Public,"47,007","23,138",49.22%,"$58,694","27,341","13,224","14,117",48.37%,51.63%,48/52
Cleveland State University,OH,Public,"11,506","10,504",91.29%,"$36,036","15,308","6,892","8,416",45.02%,54.98%,45/55
Coastal Carolina University,SC,Public,"15,481","12,251",79.14%,"$44,276","10,473","4,603","5,870",43.95%,56.05%,44/56
Colby College,ME,Private not-for-profit,"15,857","1,407",8.87%,"$81,550","2,262","1,065","1,197",47.08%,52.92%,47/53
Colgate University,NY,Private not-for-profit,"17,540","3,015",17.19%,"$83,650","3,176","1,428","1,748",44.96%,55.04%,45/55
College of Charleston,SC,Public,"20,484","15,590",76.11%,"$54,298","10,941","3,569","7,372",32.62%,67.38%,33/67
College of Coastal Georgia,GA,Public,"2,078","2,023",97.35%,"$29,189","3,232",999,"2,233",30.91%,69.09%,31/69
College of Mount Saint Vincent,NY,Private not-for-profit,"2,750","2,258",82.11%,"$57,864","2,948",644,"2,304",21.85%,78.15%,22/78
College of the Holy Cross,MA,Private not-for-profit,"6,498","2,786",42.87%,"$76,880","3,029","1,382","1,647",45.63%,54.37%,46/54
Colorado College,CO,Private not-for-profit,"10,975","1,564",14.25%,"$83,228","2,266",979,"1,287",43.20%,56.80%,43/57
Colorado Mesa University,CO,Public,"8,082","6,485",80.24%,"$39,165","8,907","4,066","4,841",45.65%,54.35%,46/54
Colorado School of Mines,CO,Public,"12,022","6,838",56.88%,"$61,609","7,187","4,926","2,261",68.54%,31.46%,69/31
Colorado State University Global,CO,Public,126,121,96.03%,$0,"10,844","4,691","6,153",43.26%,56.74%,43/57
Colorado State University Pueblo,CO,Public,"2,054","2,037",99.17%,"$35,610","6,110","2,291","3,819",37.50%,62.50%,37/63
Colorado State University-Fort Collins,CO,Public,"31,586","28,314",89.64%,"$50,309","32,586","14,701","17,885",45.11%,54.89%,45/55
Columbia College Chicago,IL,Private not-for-profit,"7,218","6,903",95.64%,"$53,716","6,736","2,688","4,048",39.90%,60.10%,40/60
Columbia International University,SC,Private not-for-profit,526,240,45.63%,"$40,270","2,338","1,100","1,238",47.05%,52.95%,47/53
Columbia University in the City of New York,NY,Private not-for-profit,"61,110","2,524",4.13%,"$86,097","33,776","15,636","18,140",46.29%,53.71%,46/54
Columbus State University,GA,Public,"5,275","4,142",78.52%,"$33,745","7,898","3,025","4,873",38.30%,61.70%,38/62
Concord University,WV,Public,"1,739","1,663",95.63%,"$33,758","1,749",673,"1,076",38.48%,61.52%,38/62
Concordia College at Moorhead,MN,Private not-for-profit,"3,778","2,720",72.00%,"$43,396","1,919",837,"1,082",43.62%,56.38%,44/56
Concordia University Texas,TX,Private not-for-profit,"1,441","1,283",89.04%,"$53,614","2,137",690,"1,447",32.29%,67.71%,32/68
Concordia University-Chicago,IL,Private not-for-profit,"5,620","4,935",87.81%,"$48,326","6,086","2,114","3,972",34.74%,65.26%,35/65
Concordia University-Irvine,CA,Private not-for-profit,"3,265","2,657",81.38%,"$57,420","3,710","1,375","2,335",37.06%,62.94%,37/63
Concordia University-Nebraska,NE,Private not-for-profit,"1,888","1,600",84.75%,"$51,350","2,989","1,294","1,695",43.29%,56.71%,43/57
Concordia University-Saint Paul,MN,Private not-for-profit,"2,485","1,687",67.89%,"$38,600","5,545","1,914","3,631",34.52%,65.48%,35/65
Concordia University-Wisconsin,WI,Private not-for-profit,"3,544","2,431",68.59%,"$52,322","5,204","1,691","3,513",32.49%,67.51%,32/68
Connecticut College,CT,Private not-for-profit,"7,682","3,146",40.95%,"$82,285","1,829",744,"1,085",40.68%,59.32%,41/59
Coppin State University,MD,Public,"2,450","1,174",47.92%,"$29,492","2,101",486,"1,615",23.13%,76.87%,23/77
Cornell University,NY,Private not-for-profit,"67,380","5,852",8.69%,"$83,196","25,582","12,294","13,288",48.06%,51.94%,48/52
Cornerstone University,MI,Private not-for-profit,"1,923","1,756",91.32%,"$42,660","1,930",776,"1,154",40.21%,59.79%,40/60
Creighton University,NE,Private not-for-profit,"8,147","6,334",77.75%,"$61,420","8,735","3,498","5,237",40.05%,59.95%,40/60
Culinary Institute of America,NY,Private not-for-profit,"2,056","2,017",98.10%,"$54,530","2,965","1,490","1,475",50.25%,49.75%,50/50
Cumberland University,TN,Private not-for-profit,"2,692","1,555",57.76%,"$42,680","2,540","1,039","1,501",40.91%,59.09%,41/59
CUNY Bernard M Baruch College,NY,Public,"23,434","11,849",50.56%,"$41,034","19,969","9,820","10,149",49.18%,50.82%,49/51
CUNY Brooklyn College,NY,Public,"28,544","14,660",51.36%,$0,"15,938","6,546","9,392",41.07%,58.93%,41/59
CUNY City College,NY,Public,"31,175","19,972",64.06%,"$39,634","15,031","6,712","8,319",44.65%,55.35%,45/55
CUNY Hunter College,NY,Public,"31,728","14,562",45.90%,"$33,408","24,099","7,553","16,546",31.34%,68.66%,31/69
CUNY John Jay College of Criminal Justice,NY,Public,"18,765","8,366",44.58%,$0,"15,210","5,773","9,437",37.96%,62.04%,38/62
CUNY Lehman College,NY,Public,"20,132","11,654",57.89%,$0,"14,392","4,407","9,985",30.62%,69.38%,31/69
CUNY Medgar Evers College,NY,Public,"10,533","9,045",85.87%,$0,"4,134","1,075","3,059",26.00%,74.00%,26/74
CUNY New York City College of Technology,NY,Public,"18,992","15,668",82.50%,$0,"14,277","7,773","6,504",54.44%,45.56%,54/46
CUNY Queens College,NY,Public,"21,777","13,237",60.78%,"$38,302","18,772","8,074","10,698",43.01%,56.99%,43/57
CUNY York College,NY,Public,"13,852","9,283",67.02%,$0,"7,027","2,381","4,646",33.88%,66.12%,34/66
Curry College,MA,Private not-for-profit,"5,192","4,170",80.32%,"$65,250","2,242",899,"1,343",40.10%,59.90%,40/60
D'Youville University,NY,Private not-for-profit,"1,841","1,702",92.45%,"$44,870","2,619",726,"1,893",27.72%,72.28%,28/72
Daemen University,NY,Private not-for-profit,"2,889","2,266",78.44%,"$48,890","2,642",648,"1,994",24.53%,75.47%,25/75
Dakota State University,SD,Public,681,583,85.61%,"$27,839","3,219","2,025","1,194",62.91%,37.09%,63/37
Dallas Baptist University,TX,Private not-for-profit,"6,916","6,501",94.00%,"$49,257","4,340","1,855","2,485",42.74%,57.26%,43/57
Dartmouth College,NH,Private not-for-profit,"28,356","1,750",6.17%,"$83,802","6,761","3,422","3,339",50.61%,49.39%,51/49
Davenport University,MI,Private not-for-profit,"2,652","2,606",98.27%,"$37,344","5,384","2,323","3,061",43.15%,56.85%,43/57
Davidson College,NC,Private not-for-profit,"6,434","1,145",17.80%,"$75,865","1,973",931,"1,042",47.19%,52.81%,47/53
Delaware State University,DE,Public,"4,764","2,803",58.84%,"$38,828","5,200","1,668","3,532",32.08%,67.92%,32/68
Delaware Valley University,PA,Private not-for-profit,"1,854","1,721",92.83%,"$59,770","2,168",844,"1,324",38.93%,61.07%,39/61
Delta State University,MS,Public,901,899,99.78%,"$22,422","2,727","1,034","1,693",37.92%,62.08%,38/62
Denison University,OH,Private not-for-profit,"9,513","2,689",28.27%,"$76,900","2,321","1,109","1,212",47.78%,52.22%,48/52
DePaul University,IL,Private not-for-profit,"32,075","22,274",69.44%,"$62,553","21,670","9,745","11,925",44.97%,55.03%,45/55
DePauw University,IN,Private not-for-profit,"5,695","3,683",64.67%,"$72,210","1,724",852,872,49.42%,50.58%,49/51
DeSales University,PA,Private not-for-profit,"3,554","2,780",78.22%,"$61,274","3,101","1,105","1,996",35.63%,64.37%,36/64
DeVry University-California,CA,Private for-profit,316,142,44.94%,$0,"1,662",981,681,59.03%,40.97%,59/41
DeVry University-Illinois,IL,Private for-profit,"5,661","2,577",45.52%,$0,"22,994","8,037","14,957",34.95%,65.05%,35/65
Dickinson College,PA,Private not-for-profit,"6,366","3,061",48.08%,"$80,541","2,186",920,"1,266",42.09%,57.91%,42/58
Doane University,NE,Private not-for-profit,"1,763","1,361",77.20%,"$55,620","2,060",830,"1,230",40.29%,59.71%,40/60
Dominican University,IL,Private not-for-profit,"3,845","3,112",80.94%,"$50,122","3,066",838,"2,228",27.33%,72.67%,27/73
Dominican University of California,CA,Private not-for-profit,"1,981","1,841",92.93%,"$69,189","1,855",537,"1,318",28.95%,71.05%,29/71
Dordt University,IA,Private not-for-profit,"1,595","1,168",73.23%,"$50,100","1,784",896,888,50.22%,49.78%,50/50
Drake University,IA,Private not-for-profit,"7,932","5,479",69.07%,"$63,732","4,875","1,814","3,061",37.21%,62.79%,37/63
Drew University,NJ,Private not-for-profit,"3,542","2,823",79.70%,"$63,501","2,244",998,"1,246",44.47%,55.53%,44/56
Drexel University,PA,Private not-for-profit,"34,519","28,522",82.63%,"$79,145","23,216","10,551","12,665",45.45%,54.55%,45/55
Duke University,NC,Private not-for-profit,"49,703","2,927",5.89%,"$82,749","17,620","8,213","9,407",46.61%,53.39%,47/53
Duquesne University,PA,Private not-for-profit,"10,512","8,857",84.26%,"$63,720","8,300","2,916","5,384",35.13%,64.87%,35/65
East Carolina University,NC,Public,"21,898","20,560",93.89%,"$40,090","28,021","11,071","16,950",39.51%,60.49%,40/60
East Central University,OK,Public,"1,005",650,64.68%,"$30,279","3,350","1,321","2,029",39.43%,60.57%,39/61
East Stroudsburg University of Pennsylvania,PA,Public,"3,054","2,852",93.39%,"$34,053","5,129","2,113","3,016",41.20%,58.80%,41/59
East Tennessee State University,TN,Public,"8,563","7,484",87.40%,"$30,807","13,303","4,870","8,433",36.61%,63.39%,37/63
East Texas Baptist University,TX,Private not-for-profit,"1,618","1,044",64.52%,"$42,581","1,688",798,890,47.27%,52.73%,47/53
Eastern Connecticut State University,CT,Public,"4,630","3,389",73.20%,"$35,442","4,319","1,787","2,532",41.38%,58.62%,41/59
Eastern Illinois University,IL,Public,"7,145","5,126",71.74%,"$29,224","8,608","3,445","5,163",40.02%,59.98%,40/60
